省份,剧种,BV号,视频进度(秒),弹幕内容
四川,川剧,BV11f421v74w,2951.155,啊啊啊啊啊好疯癫啊啊啊
四川,川剧,BV11f421v74w,4002.668,女演员真好看
四川,川剧,BV11f421v74w,94.231,圆亮hh最早的谐音哏
四川,川剧,BV11f421v74w,3332.782,以为是绿娥的奸夫，就一刀把人杀了，结果杀了绿娥
四川,川剧,BV11f421v74w,3329.723,有一天绿娥在房间睡觉把姚安的衣服披在身上，结果姚安进来看花了眼
四川,川剧,BV11f421v74w,3561.664,这里的姚安还挺美的（
四川,川剧,BV11f421v74w,1008.729,←李云霄那版就是一个新编戏要看就去看越剧原版傅派的《情探》
四川,川剧,BV11f421v74w,4638.703,睡那么多人，居然没个孩子
四川,川剧,BV11f421v74w,5015.982,贪嗔痴
四川,川剧,BV11f421v74w,2307.07,姚安这句软饭硬吃笑死我了哈哈哈
四川,川剧,BV11f421v74w,1465.686,鬼步？
四川,川剧,BV11f421v74w,4847.916,我的个天啊啊啊啊
四川,川剧,BV11f421v74w,318.579,衣服好好看啊
四川,川剧,BV11f421v74w,4533.498,夺少？！
四川,川剧,BV11f421v74w,4066.139,上回看茶饭不进的还是张生
四川,川剧,BV11f421v74w,6116.189,“我是妇女主任”
四川,川剧,BV11f421v74w,4167.933,这画风和前面不一样啊
四川,川剧,BV11f421v74w,4826.576,救命他怎么这么好笑
四川,川剧,BV11f421v74w,1283.427,这身份这权利~舒坦~
四川,川剧,BV11f421v74w,133.739,哈哈哈哈哈哈哈哈哈，川味英语，真逗
四川,川剧,BV11f421v74w,120.51,嚯……这口椒盐普通话……
四川,川剧,BV11f421v74w,3676.297,翻译：我只是想给女孩子一个家
四川,川剧,BV11f421v74w,3425.582,这段好可爱
四川,川剧,BV11f421v74w,3706.003,刚才那一段有一点点听相声的感觉。
四川,川剧,BV11f421v74w,3216.913,这个口音这转的好好好，这好有学问啊！！
四川,川剧,BV11f421v74w,4180.949,欢快的扑棱蛾子
四川,川剧,BV11f421v74w,4592.63,想不到川剧的申郞竟是这样的
四川,川剧,BV11f421v74w,429.499,说的太对了
四川,川剧,BV11f421v74w,6007.059,在我看来，这段如同升华，但像八股
四川,川剧,BV11f421v74w,5737.995,办事全是兄弟情 口供全是兄弟名
四川,川剧,BV11f421v74w,5157.363,我就知道肯定会调戏仙姑！！这种人总是会胆子大到调仙人
四川,川剧,BV11f421v74w,775.102,你一票我一票，哥哥明天就上道
四川,川剧,BV11f421v74w,2254.8,然后桂英救了你，你又负了桂英
四川,川剧,BV11f421v74w,3594.671,果然是清朝最瞧不起女子的时候，不同朝代对女子的不同
四川,川剧,BV11f421v74w,1273.7,这个太师椅存在的好妙啊，能在关键时刻把王魁重新拉回深渊，又不需要人
四川,川剧,BV11f421v74w,448.024,第一个王魁，第二个姚安，第三个申桂生
四川,川剧,BV11f421v74w,399.008,不大，还好，敲锣打鼓就是这样的
四川,川剧,BV11f421v74w,2058.009,笑死，申桂升出来看戏了
四川,川剧,BV11f421v74w,595.518,感觉姚安一些小表情很可爱
四川,川剧,BV11f421v74w,3467.518,王魁还稍微好点，至少他只是离婚没杀人
四川,川剧,BV11f421v74w,918.919,三个人还比上了哈哈哈
四川,川剧,BV11f421v74w,4608.411,好笑，感觉这个太欢乐了
四川,川剧,BV11f421v74w,926.164,你仨还互相看不上了
四川,川剧,BV11f421v74w,2430.84,你下手可从来没担当不起过
四川,川剧,BV11f421v74w,1093.648,王魁还给了200两银子的分手费
四川,川剧,BV11f421v74w,1084.342,有没有可能是装的
四川,川剧,BV11f421v74w,179.647,听出一股孙猴子的味道哈哈哈
四川,川剧,BV11f421v74w,3489.155,抓紧时间吐槽
四川,川剧,BV11f421v74w,530.676,黄袍哥看上去好风流
四川,川剧,BV11f421v74w,1217.46,感觉一下子面相都变了
四川,川剧,BV11f421v74w,2152.261,你俩还没审呢，别得意
