省份,剧种,BV号,标题,简介,播放量,点赞数,投币数,收藏数,弹幕总数,抓取时间
广东,粤剧,BV1344y1V7Mt,听说你们想要粤剧纯享版《清明雨上》，这不就安排了！,曾小敏粤剧纯享版《清明雨上 》   演唱：曾小敏 原唱/原作词/原作曲：许嵩 填词：冯敏仪 作曲/编曲：纪粹希、贺鑫、Alxlc 唱腔设计：梁妙翠 和声：黄宇、谭清怡、醉雪 混音：纪粹希、Dr.eeee 音频后期：朱建豪  监制：祝燕彩 MV导演 后期：黄宇 拍摄统筹：陈伊伊、杨佳 图片摄影：薛才焕 化妆造型设计：冯杏 化妆助理：宋嘉红  鸣谢：岭南印象园 青云书院,1155386,85968,43094,20043,1864,2026-04-04 19:04:38
北京,京剧,BV134421U7GC,【4K修复】《春草闯堂》2024版 60帧,好看,55890,1424,567,3166,464,2026-04-04 19:04:53
北京,京剧,BV1C4411x7JX,【京剧】《霸王别姬》【高清版】,,234066,5188,1630,6731,2146,2026-04-04 19:05:08
北京,京剧,BV1EW411M7A6,京剧【穆桂英挂帅】（高清舞台版）李胜素 于魁智 杨赤 袁慧琴 杜喆 潘月娇 戴忠宇 黄炳强等,北宋时，西夏犯境。辞朝隐居的佘太君闻讯，遣曾孙杨文广、曾孙女杨金花去汴京探听。此时宋王校场选帅，少年气盛的文广、金花在校场刀劈兵部尚书王强之子王伦，夺得帅印归来。宋王得知杨门之子遂封穆桂英为帅出征，穆桂英深感朝廷刻薄寡恩，不愿再为它效力。佘太君劝她以抵御西夏侵扰为重。为了国家安危，老年的穆桂英披上旧日的铠甲，满怀豪情又擂响了出征的战鼓....,1209008,25922,11654,43844,17013,2026-04-04 19:05:23
北京,京剧,BV1qs411U752,京剧《大闹天宫》（国家京剧院）,"原来的有音画不同步问题，已换P。 主演演员： 孙悟空——王璐 / 老君——魏积军 / 天王——顾谦 / 李长庚——甄建华 / 玉帝——李晓威 / 监正——吕昆山 监付——张亚宁 / 哪吒——徐滢   经典曲目之一。央视电视剧版《西游记》从服装造型、表演上都借鉴了戏曲，导演杨洁当初选孙悟空演员的时候还坚持一定要从戏曲演员里找。悟空、八戒、观音等演员都是戏曲演员出身。那部剧也是我看过的遍数最多的电视剧了吧。 ",110551,1363,316,2677,2150,2026-04-04 19:05:40
北京,京剧,BV1p44y1s7z1,【原神】国家队申请出战！「京剧老生」再唱《神女劈观》feel大不同！！,【原神】「神女劈观」  演唱：傅希如 原唱：云堇，杨扬 词：豆子 曲：陈致逸 录混：栾鹏祥@清晨录音棚   封面 : 阿光KIKO 视频：孙阳 本家：BV1kS4y1T7kK,3433607,351073,254813,93061,7329,2026-04-04 19:05:58
天津,评剧,BV1Qt41197mT,评剧之《乾坤带》新凤霞音袁淑梅像（并非是儿臣以小犯上）,优酷,383361,4514,1010,7357,290,2026-04-04 19:06:13
天津,评剧,BV1wf4y157qs,评剧《花为媒》张五可用目瞅  新凤霞,-,106478,1215,226,1478,25,2026-04-04 19:06:31
天津,评剧,BV1Bv41137Z5,【评剧】秦香莲·斥夫 相爷与我做了主 各版本合辑,素材均来自网络,16239,233,60,236,22,2026-04-04 19:06:44
天津,评剧,BV1Pt411S7Eq,评剧老电影高清字幕版《秦香莲》（小白玉霜）,转自https://v.youku.com/v_show/id_XMzEwNzMwNTQyNA==.html,80592,499,92,1244,466,2026-04-04 19:06:52
天津,评剧,BV194411q7p1,评剧-杨三姐告状-舞台版-谷文月赵丽蓉王景明花砚茹张少华张彦生,,52168,415,185,710,348,2026-04-04 19:07:07
江苏,昆曲,BV1TY411x7HK,【高清】昆曲《桃花扇·哀江南》石小梅 龚隐雷 等,高清完整版BV1vq4y1z79N,36527,516,130,796,25,2026-04-04 19:07:18
江苏,昆曲,BV1eyQtYMEjV,意境最“美”的一版「千里送京娘」，唱得人柔肠百转,个人认为最美的一版，真心佩服赵大郎的意志力,12572,332,74,420,1,2026-04-04 19:07:26
江苏,昆曲,BV1xP411e74P,【字幕】昆曲电影《十五贯》,-,19766,614,300,1203,211,2026-04-04 19:07:33
江苏,昆曲,BV15W411J7Sm,【单雯】昆曲-牡丹亭.游园（皂罗袍）,https://www.youtube.com/watch?v=DK_27SRDcDs&feature=youtu.be 作品类型: 官方现场 作品语种: 汉语 歌手: 单雯 曲名: 《牡丹亭-游园》 流派: 南昆 简介补充: 【单雯】昆曲-牡丹亭.游园（皂罗袍）,1259135,19032,2683,23078,1368,2026-04-04 19:07:48
江苏,昆曲,BV1oy4y1z7Ug,【昆曲】《南柯梦》全本（超清1080P）单雯、施夏明、赵于涛、徐思佳、蔡晨成等,省昆,151228,4117,1119,11914,3803,2026-04-04 19:08:03
海南,琼剧,BV1kx411y7rY,戏曲：海南琼剧《梁山伯与祝英台》选段 俞秋蕊 黄正更,优酷 第二届呀喏哒嘀琼剧擂台赛,94274,71,11,50,12,2026-04-04 19:08:23
海南,琼剧,BV1ok4y1L7qC,琼剧合集,"转自网络 琼剧合集",80674,415,146,649,16,2026-04-04 19:08:30
海南,琼剧,BV1L44y1j7yp,琼剧全集,"琼剧以粗犷质朴见长，因为采用海南话演唱，腔由字生，音域宽广，既高亢激越，又委婉缠绵，听起来格外舒展悠扬。  琼剧的剧目众多，但遗留下来的视频资料很少！甚是可惜！",73843,562,263,844,39,2026-04-04 19:08:41
海南,琼剧,BV17x411L775,琼剧  寒梅芳心,主演  陈进和  刘秀容  汤玉兰,60916,112,35,143,8,2026-04-04 19:08:52
贵州,黔剧,BV1da4y1W7Wg,黔剧《秦娘美·寻尸辨骨》选段,《秦娘美》又名《珠郎与娘美》。黔剧创作组根据梁绍华、梁跃庭的侗戏本《珠郎娘美》 改编。写侗族姑娘娘美与侗族青年珠郎相爱，其舅父以“姑表亲”的古规逼娶。娘美与珠郎破铜钱盟誓，双双逃到贯洞寨。该寨财主银宜垂涎娘美美色，巧言苦留两人于家，欲达其霸占娘美的目的。他勾结款首蛮松，借款会诬陷珠郎是奸细，将其杀害。娘美得知真情，在众村民的帮助下，计诱银宜，将其击毙，为夫报仇，为民除害。上世纪60年代在京、沪、杭、苏演出，党和国家领导人观看了该剧。梅兰芳、周信芳、欧阳予倩、马少波、盖叫天等著名艺术家撰文赞评。,4088,182,23,94,49,2026-04-04 19:08:59
贵州,黔剧,BV1sr4y1i7WX,【黔剧】《奢香夫人》贵州省黔剧院,网络 -,1976,34,6,47,1,2026-04-04 19:09:11
贵州,黔剧,BV1nS4y1D7y6,【黔剧】《九驿图》贵州省黔剧院,网络 -,1093,18,4,18,0,2026-04-04 19:09:18
贵州,黔剧,BV1bKhmzkEVQ,黔剧《无字丰碑》贵州省黔剧院,-,167,1,0,3,0,2026-04-04 19:09:26
上海,沪剧,BV1R7411R7uh,上海沪剧经典《芦荡火种》《借黄糠》《阿必大》《打花包》《女看灯》《庵堂相会搀桥》《陆雅臣》《卖红菱》《大庵堂》《碧落黄泉》《母子岭》《笑傲人生》《沪剧折子戏选》,网上下载 上海沪剧经典《芦荡火种》《借黄糠》《阿必大》《打花包》《女看灯》《庵堂相会搀桥》《陆雅臣》《卖红菱》《大庵堂》《碧落黄泉》《母子岭》《笑傲人生》《沪剧折子戏选》,114456,862,196,2153,36,2026-04-04 19:09:33
上海,沪剧,BV1p3411Y7JZ,交织弦音 | 《光与夜之恋》陆沉 X 上海沪剧院,上海沪剧院，这座在喧嚣城市与无涯岁月中独自幽静的小楼。 在陆沉生日之际，你与他一同造访此处。 聆听着婉转乐声伴奏的唱段，他亦想拿起大提琴为你拉奏一曲。 巧合的是，大提琴的声音吸引了同样造访沪剧院的演奏家。 当木色与黑色的潺潺琴声交替响起—— 这场难得一见的大提琴演奏会，你是今日唯一的见证者。   场地鸣谢：上海沪剧院 合奏鸣谢：上海音乐学院管弦系大提琴副教授 陈卫平cello,291247,28915,7659,8937,1620,2026-04-04 19:09:49
上海,沪剧,BV1sW411J7Yr,沪剧《大雷雨》诸惠琴 徐伯涛 石筱英 王珊妹,根据吴琛话剧本《寒夜曲》改编。 剧情简介见评论~,65627,157,27,428,3,2026-04-04 19:10:04
上海,沪剧,BV1Ns411Q7NU,【沪剧】雷雨（茅善玉  陈瑜  王明达  朱俭  洪豆豆 等）（茅善玉二度梅作品）,上海沪剧院演出。 沪剧传统剧目。据曹禺同名话剧本改编。 茅善玉因此剧及《瑞珏》获得二度梅花奖。,60311,558,138,1435,248,2026-04-04 19:10:11
上海,沪剧,BV16s411P7dv,上海沪剧《阿必大》上海沪剧团  石筱英 许国华 沈仁伟 吴素秋演唱,网上下载 中国传统戏曲剧种。流行于上海和江浙地区。渊源于上海浦东的民歌东乡调，清末形成上海滩簧，其间受苏州滩簧的影响。后采用文明戏的演出形式，发展成为小型舞台剧“申曲”。1927年以后，申曲开始演出文明戏和时事剧。1941年上海沪剧社成立，申曲正式改称沪剧。主要有长腔长板、三角板、赋子板等。曲调优美，富有江南乡土气息，擅长表现现代生活。优秀剧目有《罗汉钱》、《芦荡火种》、《一个明星的遭遇》等。,39848,265,55,603,75,2026-04-04 19:10:23
重庆,梁山灯戏,BV1VA411F7zj,危）四川川北灯戏（南充等地）、重庆梁平梁山灯戏,某网，感谢剧团及上传者,2851,64,9,75,0,2026-04-04 19:10:31
重庆,梁山灯戏,BV1RCYXzzENL,梁山灯戏-《招女婿》,,1440,2,0,1,0,2026-04-04 19:10:39
重庆,梁山灯戏,BV1v94y1U7c8,梁山灯戏《黄桷树下》,https://wx.vzan.com/live/page/9B3EE1B011E1FBFA907CDA546995ACE9?topicid=1997439384&shauid=N2wGRSs2HSyXkGBZgxJWZw**&vprid=0&sharetstamp=1653306844948&ver=097ce9f0c09540e3a5fd1011d2882397 梁山灯戏《黄桷树下》,641,11,0,6,0,2026-04-04 19:10:47
重庆,梁山灯戏,BV1eCYXzzEX7,梁山灯戏-《卖驴》,,91,1,0,2,0,2026-04-04 19:10:54
广西,桂剧,BV1ss411e79M,桂剧合辑【缓慢更新】,看一部传一部。,17157,312,220,524,39,2026-04-04 19:11:02
广西,桂剧,BV1TW411S7Ry,桂剧   法场祭奠_标清,优酷,2150,21,1,10,0,2026-04-04 19:11:13
广西,桂剧,BV1ob4y1R7TR,登上春晚的戏曲绝活《打棍出箱》1991年春晚,1991年央视春晚 卢浩，1975年从事桂剧表演专业，毕业于中国戏曲学院导演专业。代表作品桂剧《打棍出箱》被誉为“中国戏曲一绝”。,64069,2941,494,1356,119,2026-04-04 19:11:20
广西,桂剧,BV19s411h7fk,刘三姐(傅锦华 桂剧.广西1978)  1P,云盘搬过来的希望大家喜欢 云盘  搬过来的 影片讲述了刘三姐以歌声为武器与封建统治阶级作斗争的故事。刘三姐被财主迫害，到外婆家投亲。财主莫怀仁的管家莫进财强夺猎户李小牛的猎物，刘三姐打抱不平，迫使莫进财把猎物还给李小牛。随后，莫怀仁利诱刘三姐为妾不成，便以讨租、强索田地来威胁刘三姐。刘三姐约财主对歌，财主请来三个酸秀才，刘三姐用山歌战胜了他们。莫怀仁勾结官府，禁唱山歌，阴谋迫害刘三姐，并要拿刘三姐问斩。刘三姐在乡亲们的掩护下，时隐时现，把莫怀仁愚弄得匍匐在迷魂阵中。后来，刘三姐和李小牛告别亲人，,20998,121,29,233,140,2026-04-04 19:11:38
吉林,吉剧,BV1cE411t74n,【吉剧】《桃李梅》里面非常好听的一段,站内就有,62048,890,98,913,79,2026-04-04 19:11:49
吉林,吉剧,BV1iXkcYyE8q,【吉剧像音像】《桃李梅》吉林省戏曲剧院吉剧团演出,《桃李梅》，吉剧经典剧目，讲述了袁家三姐妹与贪官斗智斗勇，最后既惩治了贪官，又成全了各自美满婚姻的故事。,2895,32,2,85,11,2026-04-04 19:12:00
吉林,吉剧,BV1hD4y1m79N,【修复版全本】吉剧《包公赔情》,《包公赔情》,4079,46,16,87,0,2026-04-04 19:12:08
吉林,吉剧,BV1jW411H7cN,【戏曲电影】【吉剧】《桃李梅》（1981）,http://v.youku.com/v_show/id_XMTQ3NzUzODUyMA.html 又一出女扮男装考状元的戏。,72842,551,143,1148,521,2026-04-04 19:12:16
吉林,吉剧,BV1zHknYqEyx,中国音乐地图之听见吉林 吉剧经典唱段,吉剧，是在二人转的基础上发展而成的新剧种，因其诞生于吉林省而得名。它以二人转的主要曲牌为原始基调，伴奏乐器以二人转的板胡、唢呐等为主，并在东北管的基础上创造了善于抒情的吉剧喉管。其表演技巧是在二人转的五功，即唱、扮、舞、说（口说）、绝（手绢儿、扇子等绝活）的基础上，吸取其他剧种长处，逐渐形成。,8153,40,16,38,0,2026-04-04 19:12:31
黑龙江,龙江剧,BV1js411P7Ri,黑龙江龙江剧《双锁山》白淑贤  徐志权,网上下载 黑龙江龙江剧《双锁山》白淑贤  徐志权,2860,35,7,70,2,2026-04-04 19:12:39
黑龙江,龙江剧,BV1Ri4y1t7xY,【龙江剧】高能入坑唱段合集(更新中),封面企图用白淑贤老师的颜值骗人入坑  黑龙江传统地方戏曲之一。1958年，在东北三省协作区会议上，周恩来提出要发展东北地方戏曲后，黑龙江省以二人转、拉场戏的音乐为基础，吸收东北民间音乐，把说唱和歌舞演唱的形式，逐步丰富、发展成戏曲形式，1960年8月正式命名为龙江剧  我慢慢看……慢慢更……,3567,63,8,59,0,2026-04-04 19:12:47
黑龙江,龙江剧,BV1j34y1B7Sh,龙江剧《皇亲国戚》   电影版    主演： 白淑贤、孙春秋、李瑞刚、韩世珍    （1982年）,,1217,8,0,25,0,2026-04-04 19:12:55
黑龙江,龙江剧,BV17p4y197mQ,【龙江剧】《鲜儿》李雪飞 (梅花奖作品),李雪飞：国家一级演员，龙江剧当家花旦和刀马花旦。扮相俊美俏丽，嗓音高亢甜润，文武技艺娴熟，表演细腻传神，唱念做舞俱佳，尤以唱功见长，被誉为“小白淑贤”。  《鲜儿》取材自电视连续剧《闯关东》，以剧中女主人公“鲜儿”为人物原型，由黑龙江省戏剧界高产剧作家费守疆和编剧杨北星联袂以新的角度、新的立意全新演绎，再现了鲜儿坎坷的人生命运、曲折的情感历程和最终走上保家卫国道路的传奇人生。  李雪飞获第二十五届中国戏剧“梅花奖”、在第十四届文华奖评选中《鲜儿》获“优秀剧目奖”,2302,29,3,69,5,2026-04-04 19:13:02
